Country;Artist;Song;Language;Pl.;Year;sentiment_score;index_col;track.id_x
Finland;pertti kurikan nimipäivät;aina mun pitää;Finnish;;2015;6.553750000000001;1360;6GGTPYGutuiccn4G8Err6e
Greece;maria elena kyriakou;one last breath;English;19.0;2015;4.320294117647059;1361;2fBHIfKDD61I5G10SPBOuJ
Estonia;elina born & stig rästa;goodbye to yesterday;English;7.0;2015;5.792592592592593;1362;4K1MaVNELfr2Vktqgcpn1w
Macedonia;daniel kajmakoski;autumn leaves;English;;2015;6.11225806451613;1363;0kMcVINAOVQxTRJjwkSXGy
Serbia;bojana stamenov;beauty never lies;English (Sign language);10.0;2015;5.42896551724138;1364;
Hungary;boggie;wars for nothing;English;20.0;2015;4.982249999999999;1365;1tZjWXMJhOoi8BUeICyEeM
Belarus;uzari & maimuna;time;English;;2015;5.430000000000001;1366;6fFFKViBlFSp6y0P7hdDqN
Russia;polina gagarina;a million voices;English;2.0;2015;6.68;1367;6VlxdfLIfqf7saVOuerWyR
Denmark;anti social media;the way you are;English;;2015;5.51344827586207;1368;0pwulfH8zd2qkRfjTZnfwf
Albania;elhaida dani;i'm alive;English;17.0;2015;5.551142857142858;1369;
Romania;voltaj;de la capăt;Romanian/English;15.0;2015;5.850697674418606;1370;6Vsw92xvDmHT4OePNoVCZ4
Georgia;nina sublatti;warrior;English;11.0;2015;5.901538461538461;1371;7yU7FlMnnLHEnOVxMmQLCQ
Lithuania;monika linkytė & vaidas baumila;this time;English;18.0;2015;6.003333333333334;1372;7vKou8ey9QP86XTXgdiabF
Ireland;molly sterling;playing with numbers;English;;2015;5.296666666666667;1373;2FIBiVTBK5hCICOelznvPS
San Marino;anita simoncini & michele perniola;chain of lights;English;;2015;6.320666666666668;1374;
Montenegro;knez;adio;Montenegrin;13.0;2015;5.6915000000000004;1375;1OW3jBcvOeYhf8TowHb8V1
Malta;amber;warrior;English;;2015;5.202222222222222;1376;48JX74tcnLsnTTMqlxUE8w
